"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","","","563-02","写真植字機オペレーター","写植文字組版作業員、電算写植機オペレーター、電子組版機オペレーター"
"","","","","","","563-03","製版作業員 ","オフセット製版作業員、カラースキャナー・オペレーター、グラビア製版作業員、スクリーン製版作業員、製版カメラ作業員、電子製版作業員、版下製作作業員"
"","","","","","","563-04","とっ（凸）版印刷作業員","樹脂凸版印刷作業員、フレキソ印刷作業員"
"","","","","","","563-05","オフセット印刷作業員","平板印刷作業員"
"","","","","","","563-06","グラビア印刷作業員","凹版印刷作業員、写真印刷作業員、美術印刷作業員"
"","","","","","","563-07","スクリーン印刷作業員","看板印刷作業員、孔版印刷作業員、シルク印刷作業員"
"","","","","","","563-08","シール印刷作業員","ステッカー印刷作業員、ラベル印刷作業員"
"","","","","","","563-09","校正作業員","校正作業員"
"","","","","","","563-10","印刷物光沢加工作業員","印刷物コーティング加工作業員、印刷物樹脂プレス加工作業員、印刷物ラミネート加工作業員"
"","","","","","","563-11","製本作業員","折り作業員、製本仕上作業員、製本とじ作業員、丁合作業員、表紙製造作業員"
"","","","","","","563-99","他に分類されない印刷・製本作業員","はく押し作業員、フォーム印刷作業員"
"","","","","564","ゴム製品製造工","564-01","原料ゴム加工工","原料ゴム圧延工、原料ゴム混合工、原料ゴム練工、原料ゴム前処理工、原料ゴム薬品配合工"
"","","","","","","564-02","タイヤ成形工","加硫工（タイヤ成形）、自動車タイヤ成形工、タイヤゴム張工、トレッド工（タイヤ製造）"
"","","","","","","564-03","ゴム製品成形工（タイヤ成形を除く）","加硫工（タイヤ成形を除く）、ゴムアセンブル成形工、ゴム押出成形工、ゴム形付工、ゴム射出成形工、ゴム浸せき成形工、ゴムプレス成形工、ゴムライニング成形工"
"","","","","","","564-04","ゴム裁断工","ゴム打抜工、ゴム型抜工、ゴム切断工"
"","","","","","","564-05","ゴム塗布工","コーティング工（ゴム引布）、ゴムシート工、ゴム絶縁工、ゴム引工、ゴム防水加工工"
"","","","","","","564-99","他に分類されないゴム製品製造工","ゴム接合工、ゴムはり工、ゴム焼付工、再生ゴム製造工"
"","","","","565","プラスチック製品製造工","565-01","原料プラスチック処理工","合成樹脂混練工、合成樹脂粉砕工、プラスチック混練り工"
"","","","","","","565-02","プラスチック成形工","プラスチック圧縮成形工、プラスチック押出成形工、プラスチック射出成形工、プラスチック積層成形工、プラスチック手造り成形工、プラスチック熱成形工、プラスチック発泡成形工、プラスチックブロー成形工、プラスチックロール圧延工"
"","","","","","","565-03","プラスチック切削・研磨工","プラスチック切削機械工、プラスチック旋盤工、プラスチックバフみがき工、プラスチックボール盤工"
"","","","","","","565-04","プラスチック接合・裁断工","打抜工（プラスチック製品製造）、高周波ウェルダー工（プラスチック製品製造）、高周波ミシン工、プラスチック製品切断工"
"","","","","","","565-05","プラスチック塗布工","絶縁樹脂塗布工、プラスチック防水加工工、ラミネート工（プラスチックの塗布）"
"","","","","","","565-99","他に分類されないプラスチック製品製造工","プラスチック彫刻工"
"","","","","569","その他の製品製造・加工処理の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","569-01","革・革製品製造工","革打抜き工、革具加工工、革靴修理工、革靴製造工、革裁断工、革サンダル製造工、革スリッパ製造工、革縫製工、製革工、製革仕上工、製革準備工、なめし工"
"","","","","","","569-02","かばん・袋物製造工","かばん製造工、かばん縫製工、袋物製造工、袋物縫製工"
"","","","","","","569-03","貴金属・宝石・甲・角細工工","貝細工工、貴金属細工工、きば細工工、甲細工工、真珠加工工、水晶研磨工、角細工工、宝石細工工"
"","","","","","","569-04","楽器製造工","楽器組立工、ピアノ組立工、バイオリン製造工"
"","","","","","","569-05","がん具製造工","がん具組立工、人形製造工、児童用乗物製造工"
"","","","","","","569-06","運動具製造工","ゴルフクラブ製造工、スキー板製造工、トレーニング器具製造工、野球ミット製造工"
"","","","","","","569-07","筆記用具製造工","鉛筆製造工、ボールペン製造工、万年筆組立工、毛筆製造工"
"","","","","","","569-08","漆器工","漆工、漆器加飾工、漆器工見習、まき絵師"
"","","","","","","569-09","ほうき・ブラシ製造工","ほうき製造工、ブラシ製造工、歯ブラシ製造工、はけ製造工、たわし製造工"
"","","","","","","569-10","模型・模造品製作工","かつら製作工、食品模型製作工、ヘアピース製作工、模型製作工"
"","","","","","","569-11","配合飼料製造工","配合飼料製造工"
"","","","","","","569-12","内張工","いす張工、内張詰物工、家具類内張工、航空機内張工、小箱おおい（被）工、自動車内張工、自動車シート組立工、船舶内張工、乗物内張工、旅客車内張工"
"","","","","","","569-13","表具師","経師、軸物師、障子貼職、屏風貼職、襖貼職"
"","","","","","","569-99","他に分類されない製品製造・加工処理の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","印判師、うちわ製造工、喫煙具製造工、獣皮剥工、製氷工、ちょうちん製造工、と畜作業員、ファスナー製造工、マッチ製造工、有機肥料製造工（鶏ふん・魚肥・たい肥・大豆かすなど）、洋がさ製造工"
"","","57","機械組立の職業","571","一般機械器具組立工","571-01","原動機組立工","航空機エンジン組立工、自動車エンジン組立工、船用機関組立工、タービン組立工"
"","","","","","","571-02","金属加工機械組立工","圧延機械組立工、金属工作機械組立工、旋盤組立工、鍛造機械組立工、フライス盤組立工、プレス機械組立工"
"","","","","","","571-03","農業用機械組立工 ","耕うん機組立工、コンバイン組立工、田植機組立工、農業用トラクター組立工"
"","","","","","","571-04","建設機械組立工","建設用クレーン組立工、ショベルカー組立工、ブルドーザー組立工"
"","","","","","","571-05","印刷・製本機械組立工","オフセット印刷機組立工、スクリーン印刷機組立工、製本機械組立工"
"","","","","","","571-06","半導体・液晶パネル製造装置組立工","ウェハー切断機組立工、液晶パネル基板貼合機組立工、半導体製造装置組立工、半導体洗浄装置組立工"
"","","","","","","571-07","業務用冷凍・冷蔵・空調機器組立工","空気調和装置組立工、製氷機組立工、冷蔵装置組立工、冷凍機組立工"
"","","","","","","571-08","サービス用・娯楽機械組立工","自動改札機組立工、自動車洗浄機組立工、自動販売機組立工、ドライクリーニング機組立工、遊技機械組立工"
"","","","","","","571-09","機械部品組立工","軸受組立工、軸継手組立工、チェーン組立工、バルブ組立工、変速機組立工、ベアリング組立工"
"","","","","","","571-99","他に分類されない一般機械器具組立工","エレベーター据付工、昇降機取付工、食品充填機組立工、繊維機械組立工、包装機械組立工、木工機械組立工"
"","","","","572","電気機械組立工","572-01","発電機・電動機組立工","産業用電動機組立工、電動機巻線工、マイクロモーター組立工、民生用発電機組立工"
"","","","","","","572-02","配電盤・制御盤・開閉制御機器組立工","開閉制御機器組立工、スイッチ組立工、制御盤組立工、電気制御盤組立工、配電盤組立工、ブレーカー組立工"
"","","","","","","572-03","電気機械部品組立工","インバーター組立工、整流器組立工、整流子組立工、電力回路用コンデンサ組立工"
"","","","","","","572-99","他に分類されない電気機械組立工","トランス巻線工、変圧器組立工、変成器組立工、変流器組立工"
"","","","","573","電気通信機械器具組立工","573-01","無線・有線通信機器組立工","カーナビゲーション組立工、携帯電話組立工、電話機組立工、ファクシミリ組立工、無線通信機器組立工、有線通信機器組立工"
"","","","","","","573-02","テレビ・ラジオ組立工","テレビ組立工、ラジオ組立工"
"","","","","","","573-99","他に分類されない電気通信機械器具組立工","交通信号機組立工、レーダー組立工"
"","","","","574","電子応用機械器具組立工","574-01","電子計算機組立工 ","パーソナルコンピューター組立工、汎用電子計算機組立工"
"","","","","","","574-02","電子複写機組立工","コピー機組立工、複合複写機組立工"
"","","","","","","574-99","他に分類されない電子応用機械器具組立工","医療用画像放射線機器組立工、医療用電子機器組立工、X線応用装置組立工、水中聴音装置組立工、超音波画像診断装置組立工、レーザー応用加工機器組立工"
"","","","","575","民生用電子・電気機械器具組立工","575-01","民生用電子・電気機械器具組立工","音響機器組立工、カーエアコン組立工、家庭用エアコン組立工、電気照明器具組立工、電気ストーブ組立工、電気洗濯機組立工、電気掃除機組立工、電気冷蔵庫組立工、電熱器具組立工"
"","","","","576","半導体製品製造工","576-01","半導体チップ製造工","半導体エッジング工、半導体回路パターン焼付工、半導体電極形成工、半導体レジスト塗布工"
"","","","","","","576-02","半導体組立工","半導体エンキャップ工、半導体外装処理工、半導体ダイシング工、半導体封止工、半導体マウント工、ワイヤーボンディング工"
"","","","","","","576-99","他に分類されない半導体製品製造工","半導体マーキング工、半導体レーザー印字工"
"","","","","577","電球・電子管組立工","577-01","電球・電子管組立工","電球製造工、電球部品組立工、電子管製造工、電子管部品組立工"
"","","","","578","乾電池・蓄電池製造工","578-01","乾電池・蓄電池製造工","アルカリ乾電池製造工、鉛蓄電池製造工、バッテリー製造工"
"","","","","581","被覆電線製造工","581-01","被覆電線製造工","がい（鎧）装工、紙巻線製造工、ゴム線製造工、ビニール線製造工、被覆工、ポリエチレン線製造工、撚線工"
"","","","","582","束線工","582-01","束線工","電気通信機束線工、電子応用機器束線工、輸送用機器束線工、ワイヤー・ハーネス工"
"","","","","583","電子機器部品組立工","583-01","電子回路用コンデンサ組立工","電子機器用コンデンサ製造工"
"","","","","","","583-02","プリント基板組立工","プリント基板製造工、プリント配線工、プリント配線板製造工"
"","","","","","","583-03","液晶表示部品組立工","液晶表示部品組立工、プラズマ表示部品組立工"
"","","","","","","583-99","他に分類されない電子機器部品組立工","振動子組立工、電子機器用コイル組立工、電子機器用抵抗器組立工、電子機器用トランス組立工、リレー組立工"
"","","","","584","自動車組立工","584-01","自動車組立・ぎ装工","自動車ぎ（艤）装組立工、自動車車体組立工、自動車車台組立工、二輪自動車組立工、フォークリフト組立工"
"","","","","","","584-02","自動車部品組立工","トランスミッション組立工（自動車用）、ブレーキ装置組立工（自動車用）"
"","","","","585","輸送用機械器具組立工（自動車を除く）","585-01","鉄道車両組立工 ","制御装置組立工（鉄道車両）、鉄道車両機械組立工、鉄道車両機器取付工、鉄道車両ぎ装工、鉄道車両車体組立工、鉄道車両台車組立工、鉄道車両部分品組立工、連結装置組立工"
"","","","","","","585-02","船舶ぎ装工","救命装置ぎ装工、航海計器取付工、船舶機関部ぎ装工、船舶居住部ぎ装工、船舶甲板部ぎ装工、船舶電気部ぎ装工、操舵装置取付工、通風装置取付工、荷役装置取付工"
"","","","","","","585-03","航空機組立工","航空機ぎ装工、航空機総組立工、航空機部分品組立工、翼組立工、プロペラ組立工"
"","","","","","","585-04","自転車組立工","自転車組立工、自転車部分品組立工、自転車フレーム組立工"
"","","","","","","585-99","他に分類されない輸送用機械器具組立工（自動車を除く）","運搬台車組立工、車いす組立工"
"","","","","586","計量計測機器組立工","586-01","電気計測器組立工","自動車用計器組立工、電圧計組立工、電気メータ組立工、電力計組立工、電流計組立工"
"","","","","","","586-02","計量器・測定器組立工","圧力計組立工、温度計組立工、体温計組立工、体積計組立工、度量衡器組立工、長さ計組立工、はかり組立工、流量計組立工"
"","","","","587","光学機械器具組立工","587-01","カメラ組立工","映画撮影機組立工、映写機組立工、カメラ部品組立工、デジタルカメラ組立工、ビデオカメラ組立工"
"","","","","","","587-99","他に分類されない光学機械器具組立工","眼鏡（がんきょう）組立工、顕微鏡組立工、双眼鏡組立工、測距機組立工（光学式）、望遠鏡組立工"
"","","","","588","レンズ研磨工・加工工","588-01","レンズ研磨工・加工工","光学レンズ工、レンズ荒ずり工、レンズ接合工、レンズ研磨工、レンズ表面処理加工工"
"","","","","591","時計組立工","591-01","時計組立工","機械時計組立工、タイムレコーダー組立工、電気時計組立工、時計組立・調整工、ムーブメント組立工"
"","","","","599","その他の機械組立の職業","599-01","その他の機械組立の職業","ICカード製造工、記録媒体製造工、磁気ディスク製造工、太陽電池製造工、点火プラグ製造工、内燃機関電装品組立工、燃料電池製造工、光ディスク製造工、メガネ枠組立工"
"","","60","機械整備・修理の職業","601","一般機械器具修理工","601-01","原動機修理工","船用機関修理工、タービン修理工"
"","","","","","","601-02","金属加工機械修理工","圧延機械修理工、旋盤修理工、鍛造機械修理工、フライス盤修理工、プレス機械修理工、ボール盤修理工"
"","","","","","","601-03","産業用機械修理工","印刷機械修理工、液晶パネル製造装置修理工、建設機械修理工、製本機械修理工、繊維機械修理工、農業用機械修理工、半導体製造装置修理工"
"","","","","","","601-04","生産設備保全工","機械保全工、工場設備保全員、プラント保全工"
"","","","","","","601-99","他に分類されない一般機械器具修理工","エレベーター修理工、業務用空調機器修理工、自動販売機修理工、昇降機修理工、食品充填機修理工、包装機械修理工、木工機械修理工、遊戯機械修理工、冷凍装置修理工"
"","","","","602","電気機械器具修理工","602-01","電気機械修理工","開閉制御機器修理工、制御盤修理工、電動機修理工、配電盤修理工、発電機修理工"
"","","","","","","602-02","電気通信機械器具修理工","テレビ修理工、無線通信機器修理工、有線通信機器修理工、ラジオ修理工"
"","","","","","","602-03","電子応用機械器具修理工","電子計算機周辺機器保守員、電子計算機保守員、パーソナルコンピュータ修理工、複写機保守員"
"","","","","","","602-04","民生用電子・電気機械器具修理工","家庭用電気製品修理工（販売店・サービス店）、電気エアコン修理工、電気洗濯機修理工、電気掃除機修理工、電気冷蔵庫修理工"
"","","","","","","602-99","他に分類されない電気機械器具修理工","蓄電池修理工"
"","","","","603","自動車整備工","603-01","自動車整備工","自動車修理工、自動車エンジン整備工、自動車タイヤ整備工、自動車電装品整備工、自動二輪車整備工、フォークリフト修理工、メカニック（自動車修理）"
"","","","","604","輸送用機械器具整備・修理工（自動車を除く）","604-01","鉄道車両修理工","鉄道車両機械修理工、鉄道車両電装品修理工、鉄道車両車体修理工、鉄道車両台車修理工"
"","","","","","","604-02","船舶修理工","船舶修理工"
"","","","","","","604-03","航空機整備工","航空運航整備士、航空機エンジン修理工、航空機修理工、航空整備士"
"","","","","","","604-04","自転車修理工 ","自転車修理工"
"","","","","","","604-99","他に分類されない輸送用機械器具整備・修理工（自動車を除く）","運搬台車修理工、車いす修理工"
"","","","","605","計量計測機器・光学機械器具修理工","605-01","計量計測機器修理工","圧力計修理工、電気メータ修理工、流量計修理工"
"","","","","","","605-02","光学機械器具修理工","カメラ修理工、双眼鏡修理工、測距機修理工（光学式）"
"","","","","","","605-03","時計修理工","電気時計修理工"
"","","61","製品検査の職業（金属材料製造、金属加工、金属溶接・溶断）","611","金属材料検査工","611-01","金属材料検査工","圧延検査工、鋳物検査工、金属製錬検査工、金属精錬検査工、金属熱処理検査工、原材料試験検査工（金属）、鉱石試験検査工、伸線検査工、鍛造検査工、中間製品検査工（金属）"
"","","","","612","金属加工・溶接検査工","612-01","金属加工検査工","金属研磨検査工、金属製品検査工、金属切削加工検査工、金属彫刻検査工、金属プレス検査工、製缶検査工、鉄骨製作検査工、板金検査工、めっき検査工"
"","","","","","","612-02","金属溶接検査工","金属溶接検査工"
"","","","","","","612-03","非破壊検査工（金属）","非破壊検査工（金属）"
"","","62","製品検査の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","621","化学製品検査工","621-01","化学製品検査工","医薬品検査工、化学繊維検査工、化学薬品検査工、加工油脂製品検査工、化粧品検査工、石けん検査工、洗剤検査工"
"","","","","622","窯業製品検査工","622-01","ガラス製品検査工","板ガラス検査工、ガラス管検査工、ガラス球検査工、ガラス食器検査工、ガラス瓶検査工"
"","","","","","","622-99","他に分類されない窯業製品検査工","かわら検査工、コンクリート製品検査工、セメント検査工、陶磁器検査工、ファインセラミックス製品検査工、れんが検査工"
"","","","","623","食料品検査工","623-01","食料品検査工","食肉加工品検査工、水産物加工品検査工、精穀検査工、製粉検査工、調味食品検査工、パン検査工、焼菓子検査工"
"","","","","624","飲料・たばこ検査工","624-01","飲料・たばこ検査工","酒類検査工、清涼飲料検査工、たばこ検査工、茶検査工"
"","","","","625","紡織・衣服・繊維製品検査工","625-01","紡織製品検査工","糸検査工、糸検査仕上工、織布検査工、織布検査仕上工、検反工（織物製造）、ニット生地検査仕上工、紡織検査工、紡織検査仕上工"
"","","","","","","625-02","衣服・繊維製品検査工","衣服検査工、検針工、繊維製品検査工、皮革製衣服検査工"
"","","","","626","木製製品・パルプ・紙・紙製品検査工","626-01","木製製品検査工","き柳製品検査工、草製品検査工、合板検査工、竹製品検査工、つる製品検査工、とう製品検査工、木材検査工、木材チップ検査工、木製家具検査工"
"","","","","","","626-02","パルプ・紙・紙製品検査工","板紙検査工、加工紙検査工、紙検査工、紙製品検査工、紙器検査工、パルプ検査工"
"","","","","627","印刷・製本検査工","627-01","印刷・製本検査工","印刷検査工、製本検査工"
"","","","","628","ゴム・プラスチック製品検査工","628-01","ゴム・プラスチック製品検査工","ゴム製品検査工、タイヤ検査工、プラスチック製品検査工"
"","","","","629","その他の製品検査の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","629-01","その他の製品検査の職業（金属材料製造、金属加工、金属溶接・溶断を除く）","運動具検査工、楽器検査工、かばん検査工、革製品検査工、がん具検査工、貴金属細工検査工、漆器検査工、土石製品検査工、配合飼料検査工、筆記用具検査工、袋物検査工、ブラシ検査工、ほうき検査工、宝石細工検査工、模型検査工、模造品検査工"
"","","63","機械検査の職業","631","一般機械器具検査工","631-01","一般機械器具検査工","印刷機械検査工、液晶パネル製造装置検査工、機械部品検査工、業務用空調機器検査工、業務用冷蔵機器検査工、業務用冷凍機器検査工、金属加工機械検査工、建設機械検査工、原動機検査工、娯楽機械検査工、サービス用機械検査工、製本機械検査工、農業用機械検査工、半導体製造装置検査工"
"","","","","632","電気機械器具検査工","632-01","電気機械器具検査工","乾電池検査工、蓄電池検査工、電気機械検査工、電気機械部品検査工、電気通信機械器具検査工、電球検査工、電子応用機械器具検査工、電子管検査工、電子機器部品検査工、半導体製品検査工、民生用電気機械器具検査工、民生用電子機械器具検査工"
"","","","","633","自動車検査工","633-01","自動車検査工","自動車部分品検査工、トランスミッション検査工（自動車用）"
"","","","","634","輸送用機械器具検査工（自動車を除く）","634-01","輸送用機械器具検査工（自動車を除く）","航空機検査工、自転車検査工、船舶検査工、鉄道車両検査工"
"","","","","635","計量計測機器・光学機械器具検査工","635-01","計量計測機器・光学機械器具検査工","カメラ検査工、計量計測機器検査工、光学機械検査工、時計検査工、レンズ検査工"
"","","64","生産関連・生産類似の職業","641","塗装工","641-01","木工塗装工","木製家具塗装工、木製楽器塗装工、木製がん具塗装工、木製建具塗装工"
"","","","","","","641-02","金属塗装工","自動車塗装工、自動車塗装設備オペレーター、浸漬塗装工、船舶塗装工、鉄道車両塗装工、電線塗装工、トタン板塗装工"
"","","","","","","641-03","建築塗装工","家屋塗装工、住宅塗装工、建物塗装工"
"","","","","","","641-98","塗装工見習","金属塗装工（見習）、建築塗装工（見習）、木工塗装工（見習）"
"","","","","","","641-99","他に分類されない塗装工","プラスチック部品塗装工"
"","","","","642","画工、看板制作工 ","642-01","画工","アニメーター、印刷画工、建築透視図制作工、広告図案工、ポスター画工"
"","","","","","","642-02","看板制作工","看板工、看板図案画工"
"","","","","643","製図工","643-01","建築製図工","CADオペレーター（建築製図）、土木製図工"
"","","","","","","643-02","機械製図工","機械部品製図工、CADオペレーター（機械製図）、造船製図工"
"","","","","","","643-03","電気・電子製図工","CADオペレーター（電気・電子製図）、電気配線製図工、半導体製図工"
"","","","","644","パタンナー","644-01","パタンナー","アパレルCADオペレーター、衣服型紙製図工、パターンメーカー"
"","","","","649","その他の生産関連・生産類似の職業","649-01","写真工","写真現像オペレーター、写真出力工、写真引伸工、写真焼付工、フィルム現像工"
"","","","","","","649-02","写図工","CADトレース工、建築写図工、製図トレーサー工"
"","","","","","","649-03","現図工","現図型取工、原図工、航空機現図工、構造物現図工、造船現図工"
"","","","","","","649-04","映写技師","映写技士、映写技術者、スライド映写係"
"","","","","","","649-99","他に分類されない生産関連・生産類似の職業","音響係（舞台）、照明係（舞台・撮影所）"
"I","輸送・機械運転の職業","65","鉄道運転の職業","651","電車運転士","651-01","電車運転士","地下鉄運転士、モノレール運転士、路面電車運転士"
"","","","","659","その他の鉄道運転の職業","659-01","鉄道機関士","蒸気機関士、ディーゼル機関士、電気機関士"
"","","","","","","659-99","他に分類されない鉄道運転の職業","気動車運転士、工場気動車運転士、ディーゼルカー運転士"
"","","66","自動車運転の職業","661","バス運転手","661-01","路線バス運転手","観光路線バス運転手、高速バス運転手、コミュニティバス運転手、乗合バス運転手"
"","","","","","","661-02","貸切バス運転手","貸切観光バス運転手"
"","","","","","","661-03","送迎バス運転手 ","自家用バス運転手、シャトルバス運転手、スクールバス運転手、マイクロバス運転手"
"","","","","662","乗用自動車運転手","662-01","自家用乗用自動車運転手","役員車運転手"
"","","","","","","662-02","営業用乗用自動車運転手","介護タクシー運転手、タクシー運転手、タクシー乗務員、タクシードライバー、乗合タクシー運転手、ハイヤー運転手"
"","","","","","","662-03","自家用乗用自動車運転代行人","自動車運転代行人"
"","","","","663","貨物自動車運転手","663-01","トラック運転手","大型トラック運転手、クレーン架装トラック運転手、小型トラック運転手、中型トラック運転手、トラック運転手（冷蔵・冷凍車）"
"","","","","","","663-02","トレーラートラック運転手","貨物トレーラー運転手、トレーラートラック運転手（冷凍・冷蔵車）"
"","","","","","","663-03","コンクリートミキサー車運転手","生コン車運転手、ミキサー車運転手"
"","","","","","","663-04","ダンプカー運転手","ダンプ運転手、ダンプトラック運転手"
"","","","","","","663-05","タンクローリー運転手","セメントローリー運転手、バルク車運転手"
"","","","","","","663-06","ごみ収集車運転手","家庭ごみ収集車運転手、事業所ごみ収集車運転手、じん芥収集車運転手、パッカー車運転手"
"","","","","","","663-07","自動車陸送員","キャリアカー運転手、車載専用車運転手"
"","","","","","","663-99","他に分類されない貨物自動車運転手","し尿汲取車運転手、霊きゅう車運転手"
"","","","","669","その他の自動車運転の職業","669-99","その他の自動車運転の職業","産業廃棄物運搬車運転手、散水車運転手、建設用機械車両運搬車運転手、放送宣伝車運転手、レンタカー回送運転手"
"","","67","船舶・航空機運転の職業","671","船長（漁労船を除く）","671-01","貨客船船長","貨物船船長、コンテナ船船長、タンカー船長、フェリー船長、旅客船船長"
"","","","","","","671-02","作業船船長","給油船船長、砂利採取船船長、しゅんせつ船船長、タグボート船長"
"","","","","","","671-99","他に分類されない船長（漁労船を除く）","診療船船長、遊覧船船長"
"","","","","672","航海士・運航士（漁労船を除く）、水先人","672-01","航海士・運航士（漁労船を除く）、水先人","貨物船航海士、水先案内人、旅客船運航士"
"","","","","673","船舶機関長・機関士（漁労船を除く）","673-01","船舶機関長・機関士（漁労船を除く）","運搬船機関長、船舶機関士、旅客船機関長"
"","","","","674","航空機操縦士","674-01","航空機操縦士","機長、航空機関士、航空機副操縦士、パイロット、飛行船操縦士、ヘリコプター操縦士"
"","","68","その他の輸送の職業","681","車掌","681-01","鉄道車掌","車掌（鉄道）"
"","","","","","","681-02","バスガイド","観光バスガイド、観光バス車掌"
"","","","","682","駅構内係","682-01","駅構内係","信号係（鉄道）、操車係、連結手"
"","","","","683","甲板員、船舶機関員","683-01","甲板員","甲板手、甲板部員"
"","","","","","","683-02","船舶機関員","機関部員、操機員、操機手"
"","","","","684","フォークリフト運転作業員","684-01","フォークリフト運転作業員","フォークリフト運転手"
"","","","","689","他に分類されない輸送の職業","689-01","小型船舶運転者","遊漁船船頭、遊覧船操縦士（小型船舶）、渡船船頭"
"","","","","","","689-99","他に分類されないその他の輸送の職業","航空機誘導員、自動車誘導員（フェリー）、船舶繋留員、ロープウェイ誘導係"
"","","69","定置・建設機械運転の職業","691","発電員、変電員","691-01","発電・送電員","火力発電保守員、給電員、原子炉点検修理工、水力発電保守員、送電員、発電員"
"","","","","","","691-02","変電・配電員","配電員、配電室保守員、変電員、変電保守員"
"","","","","","","691-03","自家用電気係員","自家発電運転員、動力室電気工、内燃機関運転工（自家用発電）"
"","","","","692","ボイラーオペレーター","692-01","ボイラーオペレーター","ボイラー技士、ボイラーオペレーター見習"
"","","","","693","クレーン・巻上機運転工","693-01","クレーン運転工","クレーンオペレーター、デリック運転工、トラッククレーン運転工、揚貨装置運転工"
"","","","","","","693-02","巻上機・コンベア運転工","ウィンチ運転工、コンベア運転工、ホイスト運転工、巻上機運転工"
"","","","","694","ポンプ・送風機・圧縮機運転工","694-01","ポンプ・送風機・圧縮機運転工","圧縮機運転工、換気装置運転工、空気移送装置運転工、コンプレッサー運転工、送風機運転工、ブロワー運転工、ポンプ運転工"
"","","","","695","建設機械運転工","695-01","建設用機械車両運転工","くい（杭）打機運転工、掘削機械運転工、重機オペレーター（建設機械）、ショベルカー運転工、整地機械運転工、ブルドーザ運転工、ブレーカ運転工、ロードローラ運転工"
"","","","","","","695-02","舗装機械運転工","アスファルトフィニッシャ運転工、アスファルト舗装機械運転工、コンクリートフィニッシャ運転工、コンクリート舗装機械運転工"
"","","","","","","695-03","さく井・ボーリング機械運転工","さく井工、試すい工、ボーリング工"
"","","","","","","695-99","他に分類されない建設機械運転工","コンクリート打設機械運転工、さく岩機械運転工、シールド掘進機運転工、しゅんせつ機械運転工"
"","","","","696","玉掛作業員","696-01","玉掛作業員","玉掛工"
"","","","","697","ビル設備管理員","697-01","ビル設備管理員","ビル施設管理者"
"","","","","699","その他の定置・建設機械運転の職業","699-01","冷凍機運転工","冷凍装置運転工"
"","","","","","","699-02","ケーブル機関運転工","ケーブルカー運転員、スキーリフト機関運転員、ロープウェイ運転員"
"","","","","","","699-99","他に分類されない定置・建設機械運転の職業","下水処理施設設備操作員、ごみ焼却設備操作員、し尿処理設備操作員、浄水場設備操作員、石油採取機械運転工、天然ガス採取機械運転工"
"J","建設・採掘の職業","70","建設躯体工事の職業","701","型枠大工","701-01","型枠大工","型枠解体工、型枠工、コンクリート型枠組工"
"","","","","702","とび工","702-01","建築とび工","足場組立工、重量物とび職、鉄骨とび工、とび職"
"","","","","","","702-02","取りこわし作業員","解体工（建造物）、家屋解体工、建築解体工、コンクリートはつり工（解体工事）"
"","","","","","","702-98","とび工見習","建築とび工（見習）、鉄骨とび工（見習）、とび見習"
"","","","","703","鉄筋工","703-01","土木鉄筋工","土木鉄筋工"
"","","","","","","703-02","建築鉄筋工","建築鉄筋工"
"","","71","建設の職業（建設躯体工事の職業を除く）","711","大工","711-01","建築大工","営繕大工、造作大工、宮大工"
"","","","","","","711-98","大工見習","大工（見習）"
"","","","","","","711-99","他に分類されない大工","大道具係、舞台製作大工"
"","","","","712","ブロック積工、タイル張工","712-01","ブロック積工","建築ブロック工"
"","","","","","","712-02","れんが積工","築炉工、れんが積工、炉修工"
"","","","","","","712-03","タイル張工","タイル壁張工、タイル床張工"
"","","","","","","712-04","石張工","テラコッタ取付工"
"","","","","","","712-98","ブロック積工見習、タイル張工見習","石張工（見習）、タイル張工（見習）、ブロック積工（見習）、れんが張工（見習）"
"","","","","713","屋根ふき工","713-01","かわらふき工","かわら屋根ふき職"
"","","","","","","713-98","屋根ふき工見習 ","屋根ふき工（見習）"
"","","","","","","713-99","他に分類されない屋根ふき工","スレート屋根ふき工、わら屋根ふき工"
"","","","","714","左官","714-01","左官","木舞工、左官職、左官手元、左官吹付工、屋根左官、ラス張工"
"","","","","","","714-02","左官見習","左官（見習）"
"","","","","715","畳工","715-01","畳工","畳表替工、畳仕立工、畳職"
"","","","","","","715-02","畳工見習","畳工（見習）"
"","","","","716","配管工","716-01","配管工","ガス配管工、空調配管工、航空機配管工、水道配管工、スチーム配管工、船舶配管工、鉄道車両配管工、配管修理工"
"","","","","","","716-02","配管工見習","配管工（見習）"
"","","","","717","内装工","717-01","金属建具取付工","金属サッシ取付工、金属製ドア取付工、シャッター取付工"
"","","","","","","717-02","建具ガラス取付工","板ガラスはめ込み工、鏡取付工、建具ガラスはめ込み工"
"","","","","","","717-03","内装仕上工","クロス張り職、ゴム床張工、室内装飾工、じゅうたん張工、プラスチック床張工、壁装工、リノリウム床張工"
"","","","","718","防水工","718-01","防水工","建築工事防水工、シーリング工（防水工事）、土木工事防水工"
