"大","名称(大)","中","名称(中)","小","名称(小)","細","名称(細)","該当例"
"","","","","","","224-03","ディスプレーデザイナー","商品装飾展示係、ショーウィンドウ飾付職"
"","","","","","","224-04","工業デザイナー","インダストリアルデザイナー、クラフトデザイナー、プロダクトデザイナー"
"","","","","","","224-05","インテリアデザイナー","インテリアコーディネーター、家具デザイナー、照明デザイナー、スペースデザイナー"
"","","","","","","224-06","服飾デザイナー ","アパレルデザイナー、テキスタイルデザイナー、ファッションデザイナー"
"","","","","","","224-99","他に分類されないデザイナー","アクセサリーデザイナー、カラーデザイナー、CGデザイナー、ジュエリーデザイナー、装丁家、ブックデザイナー、フラワーデザイナー"
"","","","","225","写真家、映像撮影者","225-01","写真家","営業写真家、カメラマン、商業写真家、フォトグラファー、報道写真家"
"","","","","","","225-02","映像撮影者","映画カメラマン、テレビカメラマン、動画カメラマン"
"","","","","","","225-98","写真家助手、映像撮影者助手","カメラマン助手、撮影助手"
"","","23","音楽家、舞台芸術家","231","音楽家","231-01","音楽家","演奏家、歌手、作曲家、指揮者、邦楽師"
"","","","","232","舞踊家","232-01","舞踊家","ステージダンサー、西洋舞踊家、日本舞踊家、バレリーナ"
"","","","","233","俳優","233-01","俳優","映画俳優、歌舞伎俳優、狂言師、声優、テレビ俳優、能師"
"","","","","234","プロデューサー、演出家","234-01","プロデューサー","アシスタントプロデューサー、番組制作者（放送）"
"","","","","","","234-02","演出家","アシスタントディレクター、映画監督、照明監督、美術監督、舞台演出家、舞台照明家、ディレクター（映画、放送）"
"","","","","235","演芸家","235-01","演芸家","奇術師、曲芸師、講談師、コメディアン、人形使い、漫才師、落語家、浪曲師"
"","","24","その他の専門的職業","241","図書館司書","241-01","図書館司書","司書、司書補"
"","","","","242","学芸員","242-01","学芸員","学芸員補"
"","","","","243","カウンセラー（医療・福祉施設を除く）","243-01","学生カウンセラー","学校カウンセラー、学校臨床心理士、スクールカウンセラー、青少年カウンセラー（教育委員会）"
"","","","","","","243-02","職場カウンセラー","職場カウンセラー"
"","","","","","","243-03","職業相談員","キャリアカウンセラー"
"","","","","","","243-99","他に分類されないカウンセラー（医療・福祉施設を除く）","心理カウンセラー（個人事業）、スクールアドバイザー"
"","","","","244","個人教師","244-01","教科学習補習教師 ","学習塾教師（各種学校でないもの）、家庭教師"
"","","","","","","244-02","パーソナルコンピュータ教室教師","パソコンインストラクター（個人に教授するもの）"
"","","","","","","244-03","スポーツ個人教師","スポーツインストラクター、スポーツクラブ指導員"
"","","","","","","244-99","他に分類されない個人教師","アウトドアインストラクター、囲碁教師、英会話教師、音楽教室講師、書道個人教師、生花個人教師、茶道個人教師、舞踊教師"
"","","","","245","職業スポーツ家","245-01","職業スポーツ家","スポーツ審判員、プロゴルファー、プロサッカー選手、プロ野球監督、プロ野球コーチ、プロ野球選手、力士"
"","","","","246","通信機器操作員","246-01","無線通信員","航空関係無線通信士、船舶関係無線通信士、総合無線通信士"
"","","","","","","246-02","無線技術員","テレビ放送技術員、特殊無線技士、放送中継係員、ラジオ放送技術員"
"","","","","","","246-03","有線通信員","有線通信操作員、有線放送技術員"
"","","","","","","246-99","他に分類されない通信機器操作員","航空管制官、音響技術員、ミキサー（テレビ・ラジオ）、スイッチャー（映像切換操作員）、録音技術員"
"","","","","249","他に分類されない専門的職業","249-01","行政書士","行政書士"
"","","","","","","249-02","不動産鑑定士","不動産鑑定士"
"","","","","","","249-03","ラジオ・テレビアナウンサー","アナウンサー、天気予報解説者（気象予報士）、テレビ・ラジオ司会者"
"","","","","","","249-04","通訳","英語通訳、手話通訳者"
"","","","","","","249-05","速記者","速記者"
"","","","","","","249-06","調律師","ピアノ調律師"
"","","","","","","249-07","調教師","犬訓練士、馬調教師"
"","","","","","","249-08","通関士","通関士"
"","","","","","","249-99","他に分類されないその他の専門的職業","アートディレクター、企業信用調査員、検数人（検数協会）、広告ディレクター、サーチャー（特許）、調香師、美術品補修員"
"C","事務的職業","25","一般事務の職業","251","総務事務員","251-01","総務事務員","株式事務員、広報係事務員、庶務係事務員、総務係事務員、文書係事務員"
"","","","","252","人事事務員","252-01","人事係事務員","求人係事務員、給与係事務員、人事管理事務員、福利厚生事務員、労務管理係"
"","","","","","","252-02","教育・研修係事務員","研修係事務員、研修企画事務員"
"","","","","253","企画・調査事務員","253-01","企画係事務員（商品企画を除く）","イベントプランナー、営業企画係（企画が主であるもの）、経営企画事務員、資材計画係事務員、生産計画事務員、店舗開発事務員、販売企画事務員、販売促進部員、マーケティング企画事務員"
"","","","","","","253-02","商品企画事務員","出版物企画員、商品開発部員"
"","","","","","","253-03","調査事務員","マーケッター、マーケティングリサーチャー"
"","","","","254","受付・案内事務員","254-01","会社・団体受付係","案内係（会社）、会社受付係"
"","","","","","","254-99","他に分類されない受付・案内事務員","カウンター受付係（図書館、博物館）、銀行店頭案内人、自動車整備工場フロント係、ショールーム受付係、美容室受付係（美容師でないもの）"
"","","","","255","秘書","255-01","秘書","会社社長秘書、セクレタリー"
"","","","","256","電話応接事務員","256-01","電話交換手","案内台交換手、構内電話交換手、国際電話オペレーター"
